12,5,12,1,2,10,6,14,15,11,6,8,5,13,9,15,0
7,5,13,13,14,11,10,6,2,2,15,11,8,6,9,14,1
6,1,14,13,2,5,12,13,11,7,12,10,8,2,8,5,2
3,6,12,4,15,11,8,2,7,3,3,9,8,15,6,10,3
8,10,13,3,3,5,10,13,1,7,3,11,15,3,14,1,4
8,5,5,11,11,7,2,1,5,5,9,3,2,2,4,13,5
0,8,3,8,0,2,6,10,2,1,8,2,13,11,11,11,6
9,1,7,11,2,5,12,13,2,5,1,10,7,3,10,3,7
11,15,10,6,9,2,15,10,1,1,11,10,2,15,15,14,8
1,0,14,1,14,9,4,13,2,15,12,7,6,11,2,0,9
5,4,15,4,7,13,8,8,13,0,8,8,4,3,7,11,10
0,6,8,10,9,5,14,13,11,1,8,6,8,12,10,6,11
9,10,1,9,12,7,12,5,15,13,15,13,14,13,5,4,12
15,6,4,8,10,5,10,4,6,2,11,2,12,11,7,2,13
5,0,14,1,13,11,6,6,0,12,4,9,2,0,0,11,14
12,12,10,13,11,5,11,15,2,2,12,9,0,1,8,7,15
14,8,12,15,15,12,0,8,2,9,3,7,6,8,7,13,16
11,15,8,13,3,1,7,2,10,6,1,3,14,12,10,13,17
12,6,9,5,5,6,3,10,12,7,7,12,6,10,13,13,18
15,4,2,0,4,15,0,12,15,6,5,15,9,11,7,1,19
3,5,5,4,12,1,2,0,2,3,7,3,6,10,8,9,20
4,3,8,6,13,8,2,9,9,3,2,15,11,8,4,1,21
7,14,2,4,5,0,5,7,10,15,1,5,2,10,0,2,22
13,8,2,10,8,7,3,7,5,7,7,8,4,5,2,11,23
9,8,0,14,3,14,11,0,11,9,12,6,8,12,11,2,24
8,11,0,12,15,11,5,12,2,8,13,9,5,6,10,13,25
12,14,13,13,12,11,7,6,13,0,4,11,10,5,9,13,26
1,6,8,0,14,0,9,6,10,10,15,6,14,4,12,13,27
1,13,4,5,4,3,12,1,3,3,9,10,4,9,10,6,28
9,10,5,10,4,1,5,15,4,3,4,14,6,5,7,10,29
8,9,3,3,0,10,5,8,0,3,6,11,4,9,13,3,30
13,12,5,12,11,3,13,6,6,14,9,3,5,1,1,13,31
10,1,11,15,14,15,2,4,8,7,5,5,7,14,3,7,32
10,9,7,7,0,14,12,6,8,1,9,2,12,14,3,4,33
6,10,1,12,9,11,15,5,15,14,3,13,10,1,14,15,34
6,10,14,15,14,6,1,1,12,0,11,7,10,9,10,10,35
13,2,13,6,10,13,6,15,9,1,3,14,8,2,11,9,36
10,1,6,0,14,8,3,8,1,11,9,15,8,15,1,8,37
6,4,0,12,3,13,9,14,11,0,5,9,0,3,7,12,38
11,10,8,10,14,9,13,5,12,0,5,3,8,9,3,5,39
8,7,9,1,7,11,7,14,1,6,9,2,1,10,8,11,40
2,6,6,9,2,0,1,1,9,13,15,6,6,14,5,4,41
13,7,3,9,6,10,8,7,13,8,14,14,3,5,5,13,42
0,6,5,1,6,7,0,14,7,4,13,10,2,7,6,8,43
12,0,5,12,11,5,8,10,1,7,7,10,4,5,11,13,44
0,4,0,14,13,1,13,2,1,5,3,14,15,15,6,14,45
2,8,5,0,7,6,14,7,12,9,9,13,6,15,15,7,46
11,4,9,3,9,11,5,14,6,1,2,13,10,11,2,0,47
9,15,5,15,5,7,7,14,10,5,9,0,4,4,11,1,48
2,10,1,12,13,6,13,7,1,0,11,13,7,15,4,15,49
0,3,11,5,7,1,3,1,13,4,2,4,14,15,11,13,50
10,1,6,14,1,8,1,15,10,8,6,14,11,4,9,12,51
10,15,4,3,2,6,3,12,0,4,3,14,4,0,6,2,52
3,15,1,9,5,0,9,15,5,7,7,9,3,3,13,9,53
11,4,5,10,13,3,5,13,2,3,7,7,5,10,3,0,54
15,2,14,7,13,2,0,7,10,9,2,9,9,9,5,10,55
15,15,14,3,15,4,11,9,11,10,9,9,0,8,9,14,56
10,6,0,15,5,6,2,14,7,3,7,8,10,1,0,9,57
3,4,7,14,2,3,14,7,11,6,5,11,1,11,15,9,58
