2,4,8,15,15,10,15,5,0
7,13,0,3,11,3,8,6,1
3,8,0,0,2,15,1,13,2
10,15,6,4,6,9,1,0,3
4,5,11,6,4,12,1,3,4
14,8,3,8,8,4,11,15,5
5,5,13,8,7,13,4,15,6
14,7,9,6,8,4,8,1,7
13,3,0,7,1,3,3,8,8
7,5,9,14,11,15,9,8,9
9,10,3,11,1,5,11,6,10
7,2,1,3,4,12,14,10,11
6,1,6,7,13,15,10,7,12
1,4,2,8,15,6,2,2,13
12,10,10,15,8,0,4,11,14
2,8,3,9,6,4,6,4,15
4,11,1,6,6,11,15,15,16
5,2,8,14,5,8,2,1,17
2,2,4,10,4,4,9,9,18
1,9,8,12,4,10,1,3,19
10,13,15,6,3,0,8,12,20
10,2,10,7,13,8,14,12,21
6,7,1,1,13,10,14,13,22
5,10,8,13,15,3,5,1,23
5,12,4,9,7,9,1,8,24
9,2,7,2,8,15,13,12,25
5,9,1,5,1,9,10,11,26
5,14,1,9,11,0,6,6,27
11,13,6,6,15,1,8,2,28
10,2,5,10,0,10,9,2,29
1,10,11,9,8,5,1,9,30
10,1,0,2,2,4,6,14,31
6,14,11,10,5,15,10,1,32
10,8,3,1,6,7,5,12,33
13,11,10,11,1,9,6,11,34
10,1,11,11,10,6,1,6,35
4,4,15,5,10,14,14,3,36
12,3,14,9,15,10,4,7,37
0,7,6,7,11,5,9,13,38
8,7,3,3,8,8,8,8,39
7,11,15,14,1,11,8,2,40
4,15,8,11,11,14,5,15,41
4,14,4,13,11,10,6,3,42
13,9,9,2,12,12,0,6,43
6,5,15,13,5,0,0,0,44
0,5,2,2,10,3,15,7,45
13,10,8,6,13,3,7,6,46
4,4,0,11,1,2,3,6,47
8,13,3,8,6,7,15,7,48
2,6,11,13,6,9,10,0,49
9,6,7,4,10,7,15,13,50
14,10,2,6,5,0,10,11,51
13,0,7,5,2,3,2,5,52
12,4,13,1,3,15,8,7,53
2,5,15,1,8,15,5,15,54
15,2,3,11,14,3,9,3,55
12,9,13,4,7,7,12,4,56
5,13,4,10,15,4,10,10,57
0,3,0,0,14,11,12,9,58
11,8,1,2,4,0,14,5,59
0,4,1,1,5,2,9,3,60
9,0,10,1,9,8,7,0,61
5,4,13,13,15,0,5,2,62
10,8,12,15,7,12,3,3,63
5,3,7,11,11,10,15,9,0
4,11,2,2,12,5,8,8,1
0,9,15,1,0,12,13,15,2
7,15,6,4,5,12,2,2,3
3,1,2,8,8,14,2,4,4
13,9,0,5,7,3,10,12,5
4,6,12,7,7,15,6,13,6
0,6,11,4,8,2,7,1,7
2,3,2,8,2,5,4,10,8
8,5,9,15,11,12,10,8,9
9,12,3,10,2,6,11,6,10
6,1,15,4,3,13,14,0,11
7,0,5,11,13,14,10,4,12
0,4,2,7,1,6,3,15,13
12,8,11,15,9,1,5,13,14
2,8,1,8,6,4,6,4,15
6,11,1,7,2,11,1,14,16
6,15,9,14,5,9,2,0,17
2,3,3,10,6,3,10,9,18
1,9,8,14,4,10,0,3,19
10,11,1,5,14,1,11,8,20
10,2,10,9,14,12,0,12,21
7,7,13,5,13,10,14,12,22
7,10,8,13,15,3,4,3,23
3,12,5,9,5,8,2,6,24
6,2,7,2,7,15,14,9,25
8,10,2,8,1,10,12,9,26
8,1,0,10,11,15,5,4,27
9,13,10,6,14,1,6,1,28
7,2,8,11,0,11,9,1,29
2,12,14,8,8,3,15,8,30
10,0,0,2,1,8,7,12,31
8,12,10,10,9,15,10,1,32
10,6,3,14,6,8,7,13,33
15,11,11,9,3,9,6,11,34
7,0,9,11,8,10,13,7,35
3,5,13,4,8,11,15,4,36
13,4,14,9,2,11,3,9,37
0,8,8,8,11,5,10,0,38
9,4,2,5,10,6,8,13,39
9,15,15,12,1,8,6,2,40
4,15,7,11,11,13,6,14,41
3,14,6,15,13,12,6,2,42
15,6,8,15,13,15,14,3,43
4,4,11,14,5,15,13,0,44
15,4,4,3,7,3,0,4,45
