13,2,4,11,13,9,13,3,2,10,11,4,10,2,2,15,4,12,3,10,14,15,7,8,10,11,7,9,9,2,15,11,0
9,8,7,3,5,4,5,11,15,14,2,3,6,8,1,2,11,8,15,0,1,13,15,14,15,11,5,4,5,10,12,2,1
8,10,6,1,14,3,12,8,4,3,1,5,11,1,14,14,5,7,10,13,13,1,4,3,14,1,15,14,12,0,2,7,2
7,7,9,0,14,15,7,13,14,10,10,5,14,14,13,7,15,6,7,1,0,11,12,9,7,4,5,1,8,15,5,13,3
0,0,11,15,4,6,15,13,3,6,7,3,15,15,2,8,11,9,3,13,10,0,4,13,0,14,9,3,11,3,3,13,4
3,10,1,3,0,7,9,5,4,8,5,15,3,12,5,10,10,6,5,1,0,4,12,4,6,1,2,9,4,10,9,5,5
0,10,9,3,9,15,14,3,10,9,5,5,13,3,0,2,4,8,3,4,12,11,3,8,14,15,6,14,6,0,7,1,6
1,5,2,8,9,14,10,2,5,6,6,6,11,13,12,6,8,4,15,11,9,14,12,12,12,13,7,9,8,2,13,12,7
9,6,8,1,11,1,12,9,4,12,14,2,9,8,12,11,13,7,13,1,11,11,13,2,6,15,7,5,1,12,2,0,8
5,9,13,11,5,11,1,14,15,12,6,0,9,15,3,5,2,4,10,15,4,4,15,15,1,13,6,2,13,3,15,9,9
4,8,5,7,15,15,4,0,10,4,15,8,2,11,15,0,13,1,4,13,2,0,0,8,8,6,8,7,12,5,5,10,10
0,12,2,13,7,11,8,2,13,11,7,9,0,14,9,5,2,2,5,12,14,5,14,10,10,7,4,2,3,11,1,15,11
14,11,11,5,0,5,4,5,8,1,0,10,10,11,12,5,11,9,12,11,10,2,11,3,4,4,0,7,10,10,5,14,12
12,1,7,11,4,14,15,3,14,10,8,11,7,12,11,2,7,7,13,13,3,5,3,4,2,9,15,1,11,1,3,1,13
8,0,4,7,4,1,6,8,8,8,6,10,2,12,3,14,3,0,11,11,4,4,0,14,1,14,11,13,1,13,7,13,14
11,10,9,3,11,11,7,15,15,8,11,2,4,15,15,12,0,0,9,4,10,4,0,5,4,7,2,14,12,0,1,11,15
5,6,11,3,1,2,8,13,4,4,13,14,14,5,12,12,14,8,7,1,6,2,2,2,1,7,13,15,2,9,5,4,16
5,8,15,7,3,9,12,13,13,1,13,8,3,5,0,1,13,14,5,8,0,9,8,12,0,9,8,3,3,13,7,9,17
6,10,6,13,7,4,4,8,7,4,13,1,9,11,7,3,0,15,7,12,15,8,14,7,6,9,6,0,13,11,10,10,18
13,12,3,7,11,9,0,1,10,3,13,0,12,7,10,5,10,14,1,7,6,2,14,9,9,15,9,9,3,11,1,10,19
10,3,4,1,9,0,13,0,14,14,2,9,5,11,13,10,2,0,7,10,11,8,12,6,11,3,3,11,10,7,10,10,20
11,0,3,9,12,1,7,14,9,4,14,7,0,5,12,10,13,13,8,8,10,11,12,7,13,5,4,3,1,1,13,12,21
9,4,3,9,9,6,5,10,0,5,3,12,7,4,11,11,6,1,10,1,11,3,1,15,6,5,1,5,3,9,13,6,22
1,0,4,1,0,5,7,9,12,4,15,6,1,6,15,11,12,3,15,7,2,0,1,5,9,14,8,14,6,10,1,2,23
12,12,5,15,7,9,6,9,6,9,9,6,10,11,10,4,11,11,8,4,14,0,13,15,14,4,12,14,0,9,3,5,24
13,1,2,15,9,10,2,14,0,14,6,13,1,4,13,3,10,10,9,8,14,3,13,5,15,4,4,5,13,4,13,6,25
13,5,0,3,10,3,11,14,15,1,0,15,0,5,14,14,14,7,7,1,7,9,6,14,12,14,0,4,12,6,14,1,26
12,6,14,15,15,11,15,7,1,10,0,1,4,12,1,0,2,12,10,10,15,5,12,4,1,3,13,7,13,4,5,0,27
6,6,15,3,4,2,14,4,11,13,4,13,9,5,4,11,6,3,1,11,4,10,12,13,9,5,13,11,15,4,0,5,28
15,3,15,3,3,11,0,0,10,12,13,0,13,14,11,2,4,0,12,7,14,13,15,14,4,11,7,13,1,12,7,0,29
0,1,0,2,6,8,6,0,9,14,6,15,6,5,9,6,1,14,6,0,14,13,15,8,15,8,15,11,7,2,6,6,30
5,15,5,12,15,0,8,3,10,9,15,3,4,12,4,12,5,4,12,4,2,10,2,8,0,10,0,9,14,8,11,1,31
